hap_index,hap_id
0,tsk_0_hap1
1,tsk_0_hap2
2,tsk_2_hap1
3,tsk_2_hap2
4,tsk_4_hap1
5,tsk_4_hap2
6,tsk_5_hap1
7,tsk_5_hap2
8,tsk_6_hap1
9,tsk_6_hap2
10,tsk_7_hap1
11,tsk_7_hap2
12,tsk_8_hap1
13,tsk_8_hap2
14,tsk_9_hap1
15,tsk_9_hap2
16,tsk_10_hap1
17,tsk_10_hap2
18,tsk_11_hap1
19,tsk_11_hap2
20,tsk_12_hap1
21,tsk_12_hap2
22,tsk_15_hap1
23,tsk_15_hap2
24,tsk_16_hap1
25,tsk_16_hap2
26,tsk_17_hap1
27,tsk_17_hap2
28,tsk_18_hap1
29,tsk_18_hap2
30,tsk_19_hap1
31,tsk_19_hap2
32,tsk_22_hap1
33,tsk_22_hap2
34,tsk_23_hap1
35,tsk_23_hap2
36,tsk_24_hap1
37,tsk_24_hap2
38,tsk_25_hap1
39,tsk_25_hap2
40,tsk_26_hap1
41,tsk_26_hap2
42,tsk_27_hap1
43,tsk_27_hap2
44,tsk_28_hap1
45,tsk_28_hap2
46,tsk_29_hap1
47,tsk_29_hap2
48,tsk_30_hap1
49,tsk_30_hap2
50,tsk_31_hap1
51,tsk_31_hap2
52,tsk_32_hap1
53,tsk_32_hap2
54,tsk_33_hap1
55,tsk_33_hap2
56,tsk_35_hap1
57,tsk_35_hap2
58,tsk_36_hap1
59,tsk_36_hap2
60,tsk_37_hap1
61,tsk_37_hap2
62,tsk_38_hap1
63,tsk_38_hap2
64,tsk_40_hap1
65,tsk_40_hap2
66,tsk_41_hap1
67,tsk_41_hap2
68,tsk_42_hap1
69,tsk_42_hap2
70,tsk_44_hap1
71,tsk_44_hap2
72,tsk_45_hap1
73,tsk_45_hap2
74,tsk_46_hap1
75,tsk_46_hap2
76,tsk_51_hap1
77,tsk_51_hap2
78,tsk_55_hap1
79,tsk_55_hap2
80,tsk_56_hap1
81,tsk_56_hap2
82,tsk_57_hap1
83,tsk_57_hap2
84,tsk_59_hap1
85,tsk_59_hap2
86,tsk_60_hap1
87,tsk_60_hap2
88,tsk_61_hap1
89,tsk_61_hap2
90,tsk_62_hap1
91,tsk_62_hap2
92,tsk_63_hap1
93,tsk_63_hap2
94,tsk_64_hap1
95,tsk_64_hap2
96,tsk_65_hap1
97,tsk_65_hap2
98,tsk_66_hap1
99,tsk_66_hap2
100,tsk_67_hap1
101,tsk_67_hap2
102,tsk_68_hap1
103,tsk_68_hap2
104,tsk_69_hap1
105,tsk_69_hap2
106,tsk_70_hap1
107,tsk_70_hap2
108,tsk_72_hap1
109,tsk_72_hap2
110,tsk_73_hap1
111,tsk_73_hap2
112,tsk_74_hap1
113,tsk_74_hap2
114,tsk_75_hap1
115,tsk_75_hap2
116,tsk_76_hap1
117,tsk_76_hap2
118,tsk_77_hap1
119,tsk_77_hap2
120,tsk_78_hap1
121,tsk_78_hap2
122,tsk_79_hap1
123,tsk_79_hap2
124,tsk_82_hap1
125,tsk_82_hap2
126,tsk_83_hap1
127,tsk_83_hap2
128,tsk_84_hap1
129,tsk_84_hap2
130,tsk_85_hap1
131,tsk_85_hap2
132,tsk_86_hap1
133,tsk_86_hap2
134,tsk_89_hap1
135,tsk_89_hap2
136,tsk_90_hap1
137,tsk_90_hap2
138,tsk_92_hap1
139,tsk_92_hap2
140,tsk_93_hap1
141,tsk_93_hap2
142,tsk_95_hap1
143,tsk_95_hap2
144,tsk_96_hap1
145,tsk_96_hap2
146,tsk_97_hap1
147,tsk_97_hap2
148,tsk_98_hap1
149,tsk_98_hap2
150,tsk_100_hap1
151,tsk_100_hap2
152,tsk_101_hap1
153,tsk_101_hap2
154,tsk_104_hap1
155,tsk_104_hap2
156,tsk_107_hap1
157,tsk_107_hap2
158,tsk_108_hap1
159,tsk_108_hap2
160,tsk_109_hap1
161,tsk_109_hap2
162,tsk_111_hap1
163,tsk_111_hap2
164,tsk_112_hap1
165,tsk_112_hap2
166,tsk_113_hap1
167,tsk_113_hap2
168,tsk_114_hap1
169,tsk_114_hap2
170,tsk_115_hap1
171,tsk_115_hap2
172,tsk_116_hap1
173,tsk_116_hap2
174,tsk_117_hap1
175,tsk_117_hap2
176,tsk_118_hap1
177,tsk_118_hap2
178,tsk_119_hap1
179,tsk_119_hap2
180,tsk_120_hap1
181,tsk_120_hap2
182,tsk_122_hap1
183,tsk_122_hap2
184,tsk_123_hap1
185,tsk_123_hap2
186,tsk_124_hap1
187,tsk_124_hap2
188,tsk_125_hap1
189,tsk_125_hap2
190,tsk_126_hap1
191,tsk_126_hap2
192,tsk_127_hap1
193,tsk_127_hap2
194,tsk_128_hap1
195,tsk_128_hap2
196,tsk_129_hap1
197,tsk_129_hap2
198,tsk_132_hap1
199,tsk_132_hap2
200,tsk_135_hap1
201,tsk_135_hap2
202,tsk_136_hap1
203,tsk_136_hap2
204,tsk_137_hap1
205,tsk_137_hap2
206,tsk_138_hap1
207,tsk_138_hap2
208,tsk_139_hap1
209,tsk_139_hap2
210,tsk_140_hap1
211,tsk_140_hap2
212,tsk_141_hap1
213,tsk_141_hap2
214,tsk_142_hap1
215,tsk_142_hap2
216,tsk_143_hap1
217,tsk_143_hap2
218,tsk_144_hap1
219,tsk_144_hap2
220,tsk_146_hap1
221,tsk_146_hap2
222,tsk_147_hap1
223,tsk_147_hap2
224,tsk_148_hap1
225,tsk_148_hap2
226,tsk_150_hap1
227,tsk_150_hap2
228,tsk_152_hap1
229,tsk_152_hap2
230,tsk_154_hap1
231,tsk_154_hap2
232,tsk_155_hap1
233,tsk_155_hap2
234,tsk_156_hap1
235,tsk_156_hap2
236,tsk_157_hap1
237,tsk_157_hap2
238,tsk_158_hap1
239,tsk_158_hap2
240,tsk_159_hap1
241,tsk_159_hap2
242,tsk_162_hap1
243,tsk_162_hap2
244,tsk_163_hap1
245,tsk_163_hap2
246,tsk_164_hap1
247,tsk_164_hap2
248,tsk_165_hap1
249,tsk_165_hap2
250,tsk_167_hap1
251,tsk_167_hap2
252,tsk_168_hap1
253,tsk_168_hap2
254,tsk_170_hap1
255,tsk_170_hap2
256,tsk_171_hap1
257,tsk_171_hap2
258,tsk_172_hap1
259,tsk_172_hap2
260,tsk_173_hap1
261,tsk_173_hap2
262,tsk_175_hap1
263,tsk_175_hap2
264,tsk_176_hap1
265,tsk_176_hap2
266,tsk_177_hap1
267,tsk_177_hap2
268,tsk_178_hap1
269,tsk_178_hap2
270,tsk_179_hap1
271,tsk_179_hap2
272,tsk_180_hap1
273,tsk_180_hap2
274,tsk_181_hap1
275,tsk_181_hap2
276,tsk_182_hap1
277,tsk_182_hap2
278,tsk_183_hap1
279,tsk_183_hap2
280,tsk_184_hap1
281,tsk_184_hap2
282,tsk_185_hap1
283,tsk_185_hap2
284,tsk_186_hap1
285,tsk_186_hap2
286,tsk_192_hap1
287,tsk_192_hap2
288,tsk_193_hap1
289,tsk_193_hap2
290,tsk_194_hap1
291,tsk_194_hap2
292,tsk_195_hap1
293,tsk_195_hap2
294,tsk_196_hap1
295,tsk_196_hap2
296,tsk_197_hap1
297,tsk_197_hap2
298,tsk_198_hap1
299,tsk_198_hap2
300,tsk_200_hap1
301,tsk_200_hap2
302,tsk_202_hap1
303,tsk_202_hap2
304,tsk_203_hap1
305,tsk_203_hap2
306,tsk_204_hap1
307,tsk_204_hap2
308,tsk_206_hap1
309,tsk_206_hap2
310,tsk_208_hap1
311,tsk_208_hap2
312,tsk_209_hap1
313,tsk_209_hap2
314,tsk_210_hap1
315,tsk_210_hap2
316,tsk_211_hap1
317,tsk_211_hap2
318,tsk_213_hap1
319,tsk_213_hap2
320,tsk_215_hap1
321,tsk_215_hap2
322,tsk_216_hap1
323,tsk_216_hap2
324,tsk_218_hap1
325,tsk_218_hap2
326,tsk_219_hap1
327,tsk_219_hap2
328,tsk_221_hap1
329,tsk_221_hap2
330,tsk_222_hap1
331,tsk_222_hap2
332,tsk_223_hap1
333,tsk_223_hap2
334,tsk_224_hap1
335,tsk_224_hap2
336,tsk_225_hap1
337,tsk_225_hap2
338,tsk_226_hap1
339,tsk_226_hap2
340,tsk_228_hap1
341,tsk_228_hap2
342,tsk_229_hap1
343,tsk_229_hap2
344,tsk_230_hap1
345,tsk_230_hap2
346,tsk_231_hap1
347,tsk_231_hap2
348,tsk_232_hap1
349,tsk_232_hap2
350,tsk_233_hap1
351,tsk_233_hap2
352,tsk_234_hap1
353,tsk_234_hap2
354,tsk_236_hap1
355,tsk_236_hap2
356,tsk_237_hap1
357,tsk_237_hap2
358,tsk_238_hap1
359,tsk_238_hap2
360,tsk_239_hap1
361,tsk_239_hap2
362,tsk_242_hap1
363,tsk_242_hap2
364,tsk_244_hap1
365,tsk_244_hap2
366,tsk_245_hap1
367,tsk_245_hap2
368,tsk_246_hap1
369,tsk_246_hap2
370,tsk_247_hap1
371,tsk_247_hap2
372,tsk_248_hap1
373,tsk_248_hap2
374,tsk_249_hap1
375,tsk_249_hap2
376,tsk_250_hap1
377,tsk_250_hap2
378,tsk_253_hap1
379,tsk_253_hap2
380,tsk_254_hap1
381,tsk_254_hap2
382,tsk_255_hap1
383,tsk_255_hap2
384,tsk_256_hap1
385,tsk_256_hap2
386,tsk_259_hap1
387,tsk_259_hap2
388,tsk_260_hap1
389,tsk_260_hap2
390,tsk_261_hap1
391,tsk_261_hap2
392,tsk_262_hap1
393,tsk_262_hap2
394,tsk_264_hap1
395,tsk_264_hap2
396,tsk_265_hap1
397,tsk_265_hap2
398,tsk_266_hap1
399,tsk_266_hap2
400,tsk_267_hap1
401,tsk_267_hap2
402,tsk_268_hap1
403,tsk_268_hap2
404,tsk_269_hap1
405,tsk_269_hap2
406,tsk_271_hap1
407,tsk_271_hap2
408,tsk_272_hap1
409,tsk_272_hap2
410,tsk_274_hap1
411,tsk_274_hap2
412,tsk_275_hap1
413,tsk_275_hap2
